value_exc_vat,value_inc_vat,valid_from,valid_to
4.62,4.851,2021-02-24T05:30:00Z,2021-02-24T06:00:00Z
2.96,3.108,2021-02-24T05:00:00Z,2021-02-24T05:30:00Z
1.89,1.9845,2021-02-24T04:30:00Z,2021-02-24T05:00:00Z
2.94,3.087,2021-02-24T04:00:00Z,2021-02-24T04:30:00Z
1.26,1.323,2021-02-24T03:30:00Z,2021-02-24T04:00:00Z
2.94,3.087,2021-02-24T03:00:00Z,2021-02-24T03:30:00Z
1.68,1.764,2021-02-24T02:30:00Z,2021-02-24T03:00:00Z
2.42,2.541,2021-02-24T02:00:00Z,2021-02-24T02:30:00Z
1.68,1.764,2021-02-24T01:30:00Z,2021-02-24T02:00:00Z
3.15,3.3075,2021-02-24T01:00:00Z,2021-02-24T01:30:00Z
3.15,3.3075,2021-02-24T00:30:00Z,2021-02-24T01:00:00Z
2.1,2.205,2021-02-24T00:00:00Z,2021-02-24T00:30:00Z
2.98,3.129,2021-02-23T23:30:00Z,2021-02-24T00:00:00Z
5.0,5.25,2021-02-23T23:00:00Z,2021-02-23T23:30:00Z
4.62,4.851,2021-02-23T22:30:00Z,2021-02-23T23:00:00Z
8.65,9.0825,2021-02-23T22:00:00Z,2021-02-23T22:30:00Z
7.09,7.4445,2021-02-23T21:30:00Z,2021-02-23T22:00:00Z
10.69,11.2245,2021-02-23T21:00:00Z,2021-02-23T21:30:00Z
